date,code,name,entry_price,exit_price,profit_loss,profit_loss_pct,exit_reason
20251006,20650,ノムラ・ヨーロッパ・ファイナンス・エヌ・ブイ　ＮＥＸＴ　ＮＯＴＥＳ　日本株配当貴族（ドルヘッジ、ネットリターン）ＥＴＮ,42580.0,42970.0,390.0,0.9159229685298262,終値決済
20251007,66630,太洋テクノレックス,274.0,279.48,5.480000000000018,2.0000000000000067,利確
20251008,92120,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,387.0,394.74,7.740000000000009,2.0000000000000027,利確
20251009,75090,アイエーグループ,4010.0,4030.0,20.0,0.4987531172069825,終値決済
20251010,23410,アルバイトタイムス,195.0,193.05,-1.9499999999999886,-0.9999999999999941,損切り
20251014,35360,アクサスホールディングス,128.0,126.72,-1.2800000000000011,-1.0000000000000009,損切り
20251015,78370,アールシーコア,457.0,452.43,-4.569999999999993,-0.9999999999999984,損切り
20251016,93630,大運,462.0,471.24,9.240000000000009,2.000000000000002,利確
20251017,31130,ＵＮＩＶＡ・Ｏａｋホールディングス,71.0,72.42,1.4200000000000017,2.0000000000000027,利確
20251020,76360,ハンズマン,831.0,847.62,16.620000000000005,2.0000000000000004,利確
20251021,70350,ａｎｄ　ｆａｃｔｏｒｙ,222.0,226.44,4.439999999999998,1.9999999999999991,利確
20251022,60460,リンクバル,122.0,124.44,2.4399999999999977,1.9999999999999982,利確
20251023,68380,多摩川ホールディングス,767.0,759.33,-7.669999999999959,-0.9999999999999947,損切り
20251024,24590,アウンコンサルティング,252.0,257.04,5.0400000000000205,2.000000000000008,利確
20251027,76460,ＰＬＡＮＴ,1978.0,1958.22,-19.779999999999973,-0.9999999999999987,損切り
20251028,27640,ひらまつ,125.0,123.75,-1.25,-1.0,損切り
20251029,75010,ティムコ,1196.0,1184.04,-11.960000000000036,-1.0000000000000029,損切り
20251030,62760,シリウスビジョン,247.0,251.94,4.939999999999998,1.9999999999999991,利確
20251031,48750,メディシノバ・インク,180.0,178.2,-1.8000000000000114,-1.0000000000000062,損切り
20251104,65480,旅工房,139.0,141.78,2.780000000000001,2.000000000000001,利確
20251105,45700,免疫生物研究所,478.0,487.56,9.560000000000002,2.0000000000000004,利確
20251106,39280,マイネット,223.0,227.46,4.460000000000008,2.0000000000000036,利確
20251107,59230,高田機工,1084.0,1105.68,21.680000000000064,2.0000000000000058,利確
20251110,34220,Ｊ−ＭＡＸ,396.0,392.04,-3.9599999999999795,-0.9999999999999948,損切り
20251111,71830,あんしん保証,158.0,156.42,-1.5800000000000125,-1.000000000000008,損切り
20251112,47200,城南進学研究社,240.0,244.8,4.800000000000011,2.000000000000005,利確
20251113,92210,フルハシＥＰＯ,1282.0,1269.18,-12.819999999999936,-0.999999999999995,損切り
20251114,23850,総医研ホールディングス,245.0,242.55,-2.4499999999999886,-0.9999999999999953,損切り
20251117,43810,ビープラッツ,602.0,595.98,-6.019999999999982,-0.9999999999999969,損切り
20251118,26560,ベクターホールディングス,121.0,119.78999999999999,-1.210000000000008,-1.0000000000000067,損切り
20251119,44240,Ａｍａｚｉａ,278.0,275.21999999999997,-2.7800000000000296,-1.0000000000000107,損切り
20251120,75850,かんなん丸,446.0,441.54,-4.4599999999999795,-0.9999999999999953,損切り
20251121,70410,ＣＲＧホールディングス,320.0,326.4,6.399999999999977,1.9999999999999927,利確
20251125,73560,Ｒｅｔｔｙ,145.0,147.9,2.9000000000000057,2.000000000000004,利確
20251126,40750,ブレインズテクノロジー,907.0,925.14,18.139999999999986,1.9999999999999987,利確
20251127,79010,マツモト,848.0,839.52,-8.480000000000018,-1.000000000000002,損切り
20251128,78310,ウイルコホールディングス,100.0,99.0,-1.0,-1.0,損切り
20251201,61580,和井田製作所,881.0,872.1899999999999,-8.81000000000006,-1.0000000000000069,損切り
20251202,47770,ガーラ,270.0,267.3,-2.6999999999999886,-0.9999999999999959,損切り
20251203,79920,セーラー万年筆,108.0,106.92,-1.0799999999999983,-0.9999999999999984,損切り
20251204,34440,菊池製作所,450.0,445.5,-4.5,-1.0,損切り
20251205,66960,トラース・オン・プロダクト,273.0,278.46,5.4599999999999795,1.9999999999999925,利確
20251208,46620,フォーカスシステムズ,1937.0,1975.74,38.74000000000001,2.0000000000000004,利確
20251209,52520,日本ナレッジ,475.0,484.5,9.5,2.0,利確
20251210,50310,モイ,260.0,265.2,5.199999999999989,1.9999999999999956,利確
20251211,75230,アールビバン,1695.0,1678.05,-16.950000000000045,-1.0000000000000027,損切り
20251212,31110,オーミケンシ,237.0,234.63,-2.3700000000000045,-1.000000000000002,損切り
20251215,55910,ＡＶＩＬＥＮ,1199.0,1222.98,23.980000000000018,2.0000000000000013,利確
20251216,78590,アルメディオ,158.0,161.16,3.1599999999999966,1.999999999999998,利確
20251217,61660,中村超硬,252.0,257.04,5.0400000000000205,2.000000000000008,利確
20251218,81660,タカキュー,100.0,99.0,-1.0,-1.0,損切り
20251219,39360,グローバルウェイ,120.0,122.4,2.4000000000000057,2.000000000000005,利確
20251222,76020,レダックス,180.0,180.0,0.0,0.0,終値決済
20251223,48330,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,73.0,72.27,-0.730000000000004,-1.0000000000000053,損切り
20251224,70420,アクセスグループ・ホールディングス,680.0,673.2,-6.7999999999999545,-0.9999999999999932,損切り
20251225,23450,ＨＯＤＬ１,284.0,281.16,-2.839999999999975,-0.9999999999999911,損切り
20251226,60460,リンクバル,136.0,138.72,2.719999999999999,1.9999999999999991,利確
20251229,51250,ファインズ,878.0,869.22,-8.779999999999973,-0.9999999999999969,損切り
20251230,36810,ブイキューブ,115.0,113.85,-1.1500000000000057,-1.0000000000000049,損切り
20260105,65370,ＷＡＳＨハウス,381.0,377.19,-3.8100000000000023,-1.0000000000000004,損切り
20260106,48880,ステラファーマ,210.0,214.20000000000002,4.200000000000017,2.000000000000008,利確
20260107,48140,ネクストウェア,185.0,188.70000000000002,3.700000000000017,2.000000000000009,利確
20260108,44910,コンピューターマネージメント,3280.0,3247.2,-32.80000000000018,-1.0000000000000056,損切り
20260109,76010,ポプラ,173.0,176.46,3.460000000000008,2.0000000000000044,利確
20260113,21560,セーラー広告,334.0,330.66,-3.339999999999975,-0.9999999999999926,損切り
20260114,30230,ラサ商事,1880.0,1917.6000000000001,37.600000000000136,2.000000000000007,利確
20260115,61670,冨士ダイス,1109.0,1097.91,-11.089999999999918,-0.9999999999999926,損切り
20260116,60810,アライドアーキテクツ,215.0,219.3,4.300000000000011,2.0000000000000053,利確
20260119,45940,ブライトパス・バイオ,64.0,63.36,-0.6400000000000006,-1.0000000000000009,損切り
20260120,65220,アスタリスク,454.0,449.46,-4.5400000000000205,-1.0000000000000044,損切り
20260121,38480,データ・アプリケーション,995.0,985.05,-9.950000000000045,-1.0000000000000044,損切り
20260122,36470,アスリナ,167.0,165.33,-1.6699999999999875,-0.9999999999999926,損切り
20260123,53810,マイポックス,512.0,522.24,10.240000000000009,2.0000000000000018,利確
20260126,41700,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,209.0,206.91,-2.0900000000000034,-1.0000000000000016,損切り
20260127,96910,両毛システムズ,4740.0,4834.8,94.80000000000018,2.000000000000004,利確
20260128,78100,クロスフォー,197.0,195.03,-1.9699999999999989,-0.9999999999999996,損切り
20260129,68580,小野測器,687.0,700.74,13.740000000000009,2.0000000000000013,利確
20260130,70220,サノヤスホールディングス,338.0,334.62,-3.3799999999999955,-0.9999999999999987,損切り
20260202,20370,ノムラ・ヨーロッパ・ファイナンス・エヌ・ブイ　ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ,1276.0,1263.24,-12.759999999999991,-0.9999999999999993,損切り
20260203,79010,マツモト,1163.0,1186.26,23.25999999999999,1.9999999999999993,利確
20260204,60380,イード,910.0,928.2,18.200000000000045,2.000000000000005,利確
20260205,93510,東洋埠頭,1999.0,1979.01,-19.99000000000001,-1.0000000000000004,損切り
20260206,52420,アイズ,1420.0,1405.8,-14.200000000000045,-1.000000000000003,損切り
20260209,80450,横浜丸魚,1690.0,1673.1,-16.90000000000009,-1.0000000000000053,損切り
20260210,60460,リンクバル,217.0,214.82999999999998,-2.170000000000016,-1.0000000000000073,損切り
20260212,50280,セカンドサイトアナリティカ,393.0,400.86,7.860000000000014,2.0000000000000036,利確
20260213,27640,ひらまつ,141.0,143.82,2.819999999999993,1.9999999999999951,利確
20260216,64940,ＮＦＫホールディングス,142.0,140.58,-1.4199999999999875,-0.9999999999999911,損切り
20260217,78780,光・彩,1323.0,1309.77,-13.230000000000018,-1.0000000000000013,損切り
20260218,37530,フライトソリューションズ,150.0,148.5,-1.5,-1.0,損切り
20260219,60540,リブセンス,131.0,129.69,-1.3100000000000023,-1.0000000000000018,損切り
20260220,67750,ＴＢグループ,126.0,124.74,-1.2600000000000051,-1.000000000000004,損切り
20260224,95570,エアークローゼット,240.0,237.6,-2.4000000000000057,-1.0000000000000024,損切り
20260225,70630,Ｂｉｒｄｍａｎ,100.0,102.0,2.0,2.0,利確
20260226,70630,Ｂｉｒｄｍａｎ,144.0,142.56,-1.4399999999999977,-0.9999999999999984,損切り
20260227,91710,栗林商船,1808.0,1844.16,36.16000000000008,2.0000000000000044,利確
20260302,33580,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ,121.0,119.78999999999999,-1.210000000000008,-1.0000000000000067,損切り
20260303,45910,リボミック,88.0,87.12,-0.8799999999999955,-0.9999999999999948,損切り
20260304,65580,クックビズ,707.0,699.93,-7.07000000000005,-1.000000000000007,損切り
20260305,90730,京極運輸商事,1314.0,1306.0,-8.0,-0.60882800608828,終値決済
20260306,68980,トミタ電機,3525.0,3595.5,70.5,2.0,利確
20260309,48820,ペルセウスプロテオミクス,231.0,235.62,4.6200000000000045,2.000000000000002,利確
20260310,74860,サンリン,1079.0,1068.21,-10.789999999999964,-0.9999999999999966,損切り
20260311,48900,坪田ラボ,305.0,311.1,6.100000000000023,2.000000000000007,利確
20260312,46640,アール・エス・シー,919.0,909.81,-9.190000000000055,-1.000000000000006,損切り
20260313,74250,初穂商事,2409.0,2429.0,20.0,0.8302200083022002,終値決済
20260316,97010,東京會舘,4535.0,4625.7,90.69999999999982,1.9999999999999958,利確
20260317,56030,虹技,1400.0,1428.0,28.0,2.0,利確
